title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source
Attack on Titan,"Action, Drama, Fantasy, Mystery",WIT STUDIO,25,2013-04,Tv,84,AniList
Demon Slayer: Kimetsu no Yaiba,"Action, Adventure, Drama, Fantasy, Supernatural",ufotable,26,2019-04,Tv,82,AniList
Death Note,"Mystery, Psychological, Supernatural, Thriller",MADHOUSE,37,2006-10,Tv,84,AniList
JUJUTSU KAISEN,"Action, Drama, Supernatural",Toho,24,2020-10,Tv,85,AniList
My Hero Academia,"Action, Adventure, Comedy",bones,13,2016-04,Tv,76,AniList
Hunter x Hunter (2011),"Action, Adventure, Fantasy",MADHOUSE,148,2011-10,Tv,89,AniList
One-Punch Man,"Action, Comedy, Sci-Fi, Supernatural",MADHOUSE,12,2015-10,Tv,83,AniList
Tokyo Ghoul,"Action, Drama, Horror, Mystery, Psychological, Supernatural",Studio Pierrot,12,2014-07,Tv,75,AniList
Attack on Titan Season 2,"Action, Drama, Fantasy, Mystery",WIT STUDIO,12,2017-04,Tv,84,AniList
Sword Art Online,"Action, Adventure, Fantasy, Romance",Aniplex,25,2012-07,Tv,69,AniList
Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy",bones,64,2009-04,Tv,90,AniList
ONE PIECE,"Action, Adventure, Comedy, Drama, Fantasy",Toei Animation,,1999-10,Tv,88,AniList
Naruto,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural",Studio Pierrot,220,2002-10,Tv,79,AniList
Your Name.,"Drama, Romance, Supernatural",CoMix Wave,1,2016-08,Movie,85,AniList
A Silent Voice,"Drama, Romance, Slice of Life",Kyoto Animation,1,2016-09,Movie,88,AniList
Attack on Titan Season 3,"Action, Drama, Fantasy, Mystery",WIT STUDIO,12,2018-07,Tv,85,AniList
My Hero Academia Season 2,"Action, Adventure, Comedy",bones,25,2017-04,Tv,79,AniList
